elapsed_hours,actual_chlorophyll_ug_L,predicted_chlorophyll_ug_L,alarm_threshold_ug_L
0.0,1.7,4.842,10.0
0.25,2.06,3.803,10.0
0.5,2.23,3.708,10.0
0.75,2.99,3.397,10.0
1.0,2.52,3.379,10.0
1.25,2.23,3.379,10.0
1.5,2.02,3.144,10.0
1.75,2.4,2.836,10.0
2.0,2.3,2.815,10.0
2.25,1.8,2.846,10.0
2.5,1.76,2.991,10.0
2.75,1.65,2.959,10.0
3.0,1.61,2.827,10.0
3.25,2.09,2.91,10.0
3.5,2.0,2.91,10.0
3.75,1.78,2.815,10.0
4.0,1.76,2.846,10.0
4.25,1.65,2.836,10.0
4.5,1.69,3.343,10.0
4.75,1.84,3.529,10.0
5.0,1.56,4.328,10.0
5.25,2.15,4.328,10.0
5.5,1.83,4.102,10.0
5.75,1.83,4.567,10.0
6.0,1.77,4.439,10.0
6.25,2.13,4.486,10.0
6.5,2.14,4.765,10.0
6.75,2.55,4.815,10.0
7.0,2.22,4.485,10.0
7.25,2.63,4.125,10.0
7.5,2.14,3.78,10.0
7.75,2.23,3.917,10.0
8.0,2.78,4.467,10.0
8.25,2.42,4.221,10.0
8.5,2.07,4.068,10.0
8.75,2.41,4.047,10.0
9.0,2.68,3.762,10.0
9.25,2.39,3.764,10.0
9.5,2.66,3.743,10.0
9.75,2.77,3.996,10.0
10.0,2.27,3.845,10.0
10.25,2.36,4.09,10.0
10.5,2.47,4.019,10.0
10.75,2.33,4.087,10.0
11.0,2.83,4.088,10.0
11.25,2.81,4.108,10.0
11.5,2.86,4.067,10.0
11.75,2.86,4.176,10.0
12.0,2.9,4.226,10.0
12.25,3.28,4.291,10.0
12.5,3.04,4.167,10.0
12.75,2.81,4.195,10.0
13.0,4.27,4.091,10.0
13.25,3.38,4.145,10.0
13.5,3.95,4.134,10.0
13.75,2.92,4.494,10.0
14.0,3.19,4.377,10.0
14.25,3.62,4.115,10.0
14.5,1.84,3.95,10.0
14.75,3.59,3.684,10.0
15.0,4.45,3.583,10.0
15.25,3.33,3.543,10.0
15.5,3.63,3.998,10.0
15.75,2.62,3.878,10.0
16.0,2.74,4.14,10.0
16.25,2.66,3.786,10.0
16.5,3.04,3.496,10.0
16.75,2.96,5.646,10.0
17.0,3.45,4.788,10.0
17.25,3.14,4.175,10.0
17.5,2.66,5.136,10.0
17.75,2.82,5.688,10.0
18.0,2.77,5.311,10.0
18.25,3.16,5.034,10.0
18.5,3.11,4.715,10.0
18.75,2.27,4.519,10.0
19.0,2.99,3.867,10.0
19.25,3.09,3.874,10.0
19.5,3.27,4.365,10.0
19.75,3.13,4.143,10.0
20.0,2.78,3.587,10.0
20.25,3.31,3.673,10.0
20.5,3.02,3.587,10.0
20.75,2.96,3.368,10.0
21.0,2.85,3.042,10.0
21.25,3.01,3.042,10.0
21.5,4.08,3.269,10.0
21.75,3.21,3.197,10.0
22.0,3.08,3.297,10.0
22.25,2.38,3.203,10.0
22.5,2.81,3.197,10.0
22.75,3.17,3.517,10.0
23.0,2.94,3.197,10.0
23.25,3.12,3.261,10.0
23.5,2.98,3.286,10.0
